ClimateDataEdit3
Year,Mo,Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean
1999,12,-0.16,-0.05,-0.21,-0.01,0.32,-0.22,-0.32,-0.88,-0.2,-0.56,-0.11,-1.08,-1.2,-2.48,-0.58
2000,1,-0.41,-0.53,-0.37,-0.42,-0.41,-0.43,-0.4,-0.8,-0.32,-1.08,-1.04,-1.12,-1.44,-2.08,-1.14
2000,2,-0.23,-0.19,-0.24,-0.3,-0.1,-0.42,-0.16,-0.39,-0.11,0.11,0.46,-0.31,-0.34,-0.9,-0.08
2000,3,-0.14,-0.19,-0.12,-0.23,-0.1,-0.31,-0.05,-0.39,0.02,0.21,0.21,0.21,-0.45,-1,-0.19
2000,4,-0.07,0.23,-0.19,0.02,0.45,-0.25,-0.16,-0.26,-0.14,0.16,0.59,-0.34,-0.67,-0.51,-0.74
2000,5,-0.04,-0.05,-0.03,-0.04,0.09,-0.12,-0.03,-0.36,0.04,-0.48,-0.55,-0.41,-0.14,-0.59,0.07
2000,6,-0.06,-0.01,-0.08,-0.08,0.02,-0.15,-0.04,-0.08,-0.04,-0.39,-0.17,-0.63,0.59,1.18,0.31
2000,7,-0.18,-0.15,-0.19,-0.18,-0.06,-0.25,-0.18,-0.35,-0.15,-0.01,0.03,-0.06,0.52,0.5,0.53
2000,8,-0.24,-0.16,-0.27,-0.15,-0.09,-0.2,-0.32,-0.32,-0.32,-0.1,-0.31,0.14,0.03,0.46,-0.18
2000,9,-0.14,-0.09,-0.16,-0.14,-0.17,-0.12,-0.14,0.08,-0.19,-0.48,-0.45,-0.52,0.64,1.33,0.31
2000,10,-0.12,-0.32,-0.04,-0.21,-0.35,-0.12,-0.03,-0.28,0.02,0.02,-0.21,0.28,-0.36,-0.9,-0.1
2000,11,-0.12,-0.28,-0.06,-0.16,-0.38,-0.02,-0.08,-0.04,-0.09,0.2,0.18,0.23,0.33,0.79,0.12
2000,12,-0.14,-0.22,-0.11,-0.17,-0.3,-0.09,-0.11,-0.03,-0.13,0.03,-0.18,0.26,-0.39,-0.04,-0.56
2001,1,-0.19,-0.09,-0.23,-0.19,-0.02,-0.29,-0.2,-0.24,-0.19,-0.25,-0.36,-0.12,-0.07,0,-0.1
2001,2,-0.06,-0.22,0.01,-0.31,-0.43,-0.24,0.2,0.26,0.19,-0.34,-0.72,0.09,0.03,0.35,-0.12
2001,3,-0.08,0,-0.11,-0.09,0.07,-0.2,-0.06,-0.16,-0.04,-0.17,0.09,-0.48,-0.09,0.08,-0.17
2001,4,0.08,0.01,0.1,0.02,0.07,0,0.13,-0.1,0.18,-0.45,-0.23,-0.71,-0.12,-0.21,-0.08
